booking_id,customer_id,driver_id,time_of_day,pickup_area,drop_area,ride_status,estimated_time,actual_time,fare_amount,driver_rating,customer_rating,vehicle_type,day_of_week,surge_multiplier
34,13440,1189,afternoon,Area_9,Area_3,completed,21,20,115,4.44,3.68,suv,Fri,1
35,17400,1395,evening,Area_17,Area_17,completed,24,36,296,4.74,3.78,suv,Thu,1
36,15588,,afternoon,Area_20,Area_19,no_driver_found,19,,223,,3.66,mini,Sun,1
37,17241,1587,evening,Area_10,Area_7,completed,18,19,242,3.38,3.23,sedan,Thu,1.5
38,19580,1028,night,Area_14,Area_13,cancelled_by_customer,12,,,4.73,3.29,mini,Sat,1
39,14186,,night,Area_13,Area_4,no_driver_found,8,,149,,3.76,sedan,Tue,1.5
40,10504,1347,afternoon,Area_13,Area_13,completed,22,26,396,4.36,4.36,suv,Thu,1.5
41,15348,1885,afternoon,Area_6,Area_6,cancelled_by_customer,16,,252,2.61,4.78,suv,Wed,2
42,18120,1470,night,Area_9,Area_17,completed,18,29,494,4.24,3.77,suv,Thu,2
43,10539,1177,night,Area_6,Area_12,completed,28,32,201,3.66,3.71,mini,Mon,1
44,15713,1389,afternoon,Area_17,Area_9,completed,5,14,299,2.83,3.15,suv,Fri,1
45,17449,1852,evening,Area_18,Area_13,completed,9,6,453,4.97,3.3,suv,Mon,1.5
46,19860,1517,night,Area_13,Area_1,cancelled_by_customer,6,,184,3.18,3.11,sedan,Wed,1
47,17939,1050,evening,Area_5,Area_10,cancelled_by_customer,14,,,3.63,3.26,sedan,Mon,1
48,18580,1235,evening,Area_8,Area_7,cancelled_by_driver,6,,197,3.27,4.63,sedan,Sat,1.5
49,16949,1737,evening,Area_15,Area_15,completed,9,19,145,4.76,4.23,sedan,Tue,1.5
50,14892,1132,evening,Area_19,Area_2,completed,24,26,414,4.06,4.72,sedan,Mon,1
51,10760,1110,afternoon,Area_5,Area_2,completed,10,8,284,3.95,3.68,suv,Sun,1
52,10671,1092,evening,Area_16,Area_8,completed,8,12,467,4.74,3.95,sedan,Fri,1
53,19945,1944,morning,Area_5,Area_18,completed,14,16,80,3.39,4.79,mini,Wed,1.2
54,10302,1866,morning,Area_15,Area_11,cancelled_by_customer,20,,,4.67,3.17,suv,Sat,1
55,16506,1622,morning,Area_14,Area_2,cancelled_by_customer,17,,233,3.13,4.43,suv,Thu,1
56,10125,1473,morning,Area_3,Area_19,completed,19,20,107,3.31,3.42,mini,Mon,1
57,16891,1775,afternoon,Area_10,Area_3,completed,13,22,225,3.84,4.17,suv,Tue,1
58,16767,1502,afternoon,Area_2,Area_13,completed,10,11,456,2.75,3.31,sedan,Wed,1
59,18195,1321,morning,Area_9,Area_3,cancelled_by_customer,23,,110,4.96,3.22,suv,Sat,1
60,16469,1644,night,Area_6,Area_19,completed,29,27,414,3.69,4.68,sedan,Sat,1.2
61,16988,1138,evening,Area_20,Area_17,completed,16,27,80,3.22,4.16,suv,Wed,1.2
62,12832,1318,morning,Area_10,Area_5,completed,27,33,251,4.21,3.18,mini,Wed,1
63,15256,1458,afternoon,Area_3,Area_17,cancelled_by_driver,9,,397,3.52,4.87,sedan,Thu,1.5
64,12898,,afternoon,Area_8,Area_11,no_driver_found,13,,308,,3.33,suv,Sat,1
65,16565,1636,evening,Area_13,Area_10,completed,29,43,375,4.28,4.8,mini,Sun,1
66,11202,1645,afternoon,Area_17,Area_1,completed,19,17,388,4.06,3.23,sedan,Thu,2
67,12336,1950,evening,Area_20,Area_7,cancelled_by_driver,8,,236,3.28,3.5,sedan,Thu,1
68,13228,1947,evening,Area_10,Area_1,cancelled_by_customer,26,,,3.45,3.91,mini,Fri,1.2
69,16166,1010,morning,Area_2,Area_19,cancelled_by_driver,23,,499,3.13,3.69,suv,Tue,1.2
70,13876,1323,night,Area_13,Area_8,completed,22,19,190,3.98,3.2,suv,Tue,1.5
71,13417,1404,evening,Area_9,Area_19,completed,18,22,376,3.63,3.23,sedan,Thu,2
72,16456,,morning,Area_19,Area_8,no_driver_found,19,,228,,3.41,mini,Tue,1
73,14971,1954,afternoon,Area_11,Area_6,completed,6,9,289,4.8,4.17,suv,Wed,1
74,15588,1881,morning,Area_20,Area_6,completed,25,22,256,3.19,3.44,mini,Sun,1.5
75,18914,1951,night,Area_20,Area_8,completed,21,24,336,3.49,3.85,sedan,Sat,1
76,15232,1987,morning,Area_16,Area_8,completed,23,37,336,3.63,4.05,sedan,Sat,1.5
77,10054,1379,evening,Area_1,Area_8,completed,27,30,210,3.18,4.29,sedan,Sun,1
78,17970,1417,evening,Area_3,Area_8,completed,26,37,308,4.13,3.48,sedan,Sat,1
79,13452,1623,night,Area_5,Area_14,completed,27,39,86,4.34,4.7,suv,Thu,1.2
80,14491,1118,evening,Area_1,Area_15,cancelled_by_driver,9,,483,4.56,3.73,mini,Fri,1
81,14223,1726,afternoon,Area_2,Area_12,completed,7,15,359,3.91,4.97,mini,Tue,1
82,18996,1441,morning,Area_8,Area_2,completed,17,20,280,4.59,4.97,suv,Sat,1
83,18041,1628,night,Area_4,Area_9,completed,10,8,96,3.74,4.44,sedan,Fri,1
84,12681,1475,afternoon,Area_8,Area_2,completed,16,25,388,4.79,3.84,sedan,Tue,1
85,19328,1675,morning,Area_19,Area_4,cancelled_by_driver,23,,361,4.59,3.87,suv,Sun,1
86,17101,,evening,Area_15,Area_5,no_driver_found,28,,368,,3.32,suv,Fri,1
87,17970,1041,morning,Area_2,Area_9,cancelled_by_driver,13,,375,3.74,4.38,suv,Tue,1.5
88,10329,1016,evening,Area_6,Area_2,cancelled_by_driver,16,,354,4.52,4.92,mini,Sun,1
89,15387,1465,evening,Area_16,Area_19,completed,12,25,294,4.09,4.96,suv,Wed,1.5
90,10390,,night,Area_15,Area_10,no_driver_found,20,,278,,3.95,sedan,Sun,2
91,10614,1489,evening,Area_16,Area_8,completed,22,36,302,4.61,3.64,mini,Sat,1.5
92,16640,1526,evening,Area_13,Area_2,completed,7,8,250,4.31,3.13,mini,Sat,1
93,14346,1413,afternoon,Area_16,Area_13,cancelled_by_driver,14,,187,2.56,4.74,suv,Fri,1
94,10271,,evening,Area_3,Area_7,no_driver_found,18,,108,,3.96,suv,Mon,1.5
95,10145,1323,evening,Area_7,Area_20,completed,9,6,256,3.39,3.57,sedan,Fri,1
96,19130,1804,morning,Area_14,Area_15,completed,13,24,384,2.81,4.91,sedan,Sun,1
97,15429,,night,Area_11,Area_13,no_driver_found,6,,232,,3.8,mini,Wed,1.5
98,11913,1688,evening,Area_2,Area_9,completed,21,20,455,2.64,4.94,mini,Fri,1
99,14675,1088,afternoon,Area_18,Area_17,completed,28,27,239,4.06,4.5,sedan,Fri,1
100,10954,1536,morning,Area_3,Area_9,cancelled_by_customer,7,,488,2.59,3.66,sedan,Thu,1.5
101,15233,1592,afternoon,Area_5,Area_16,completed,22,24,116,4.21,3.15,mini,Sat,1
102,11704,1335,evening,Area_8,Area_2,cancelled_by_customer,12,,426,4.33,4.04,mini,Wed,1.5
103,17561,,morning,Area_4,Area_6,no_driver_found,11,,212,,3.06,suv,Fri,1.5
104,12064,1112,evening,Area_4,Area_2,completed,18,27,91,3.22,4.23,suv,Tue,1
105,19437,1334,evening,Area_3,Area_16,completed,10,13,153,4.6,3.78,mini,Fri,1
106,16353,1473,evening,Area_4,Area_18,completed,8,21,91,3.96,3.69,sedan,Sat,1
107,19645,,night,Area_4,Area_3,no_driver_found,24,,460,,4.64,sedan,Fri,1
108,15658,1458,night,Area_9,Area_7,completed,19,26,451,4.43,3.46,suv,Mon,1.5
109,10933,1891,night,Area_15,Area_16,completed,9,11,226,4.96,3.82,suv,Tue,1
110,13380,1604,morning,Area_12,Area_18,completed,19,27,287,2.9,3.41,suv,Wed,1.2
111,11875,1152,night,Area_3,Area_12,cancelled_by_customer,25,,,4.04,4.59,mini,Sat,2
112,18357,1365,morning,Area_2,Area_8,completed,15,24,288,2.68,3.78,suv,Fri,1
113,13117,,evening,Area_9,Area_8,no_driver_found,15,,293,,3.21,suv,Sat,1.5
114,16732,1928,evening,Area_10,Area_8,cancelled_by_driver,22,,432,2.72,3.7,sedan,Sat,1.2
115,16082,,afternoon,Area_14,Area_18,no_driver_found,19,,185,,4.27,suv,Sat,1
116,18442,1110,evening,Area_9,Area_18,cancelled_by_driver,16,,343,4.06,4.57,suv,Sun,2
117,11560,1908,evening,Area_6,Area_3,completed,13,19,93,2.65,3.49,mini,Wed,1
118,13665,,morning,Area_4,Area_13,no_driver_found,12,,300,,4,sedan,Tue,1.5
119,17005,1816,evening,Area_9,Area_3,completed,14,13,172,3.01,4.68,mini,Sun,1
120,19465,1607,afternoon,Area_5,Area_4,cancelled_by_customer,16,,461,2.6,4.73,mini,Tue,2
121,10529,1267,afternoon,Area_2,Area_4,cancelled_by_customer,10,,,3.98,4.82,mini,Sun,1
122,14648,1836,morning,Area_4,Area_16,cancelled_by_customer,27,,,4.93,3.36,sedan,Sat,1
123,19444,1162,night,Area_7,Area_20,completed,6,9,405,3.28,3.8,mini,Sun,1.2
124,15724,1969,evening,Area_4,Area_13,completed,27,38,366,2.68,3.34,sedan,Thu,1
125,16052,1106,night,Area_20,Area_8,completed,15,23,80,3.4,3.76,suv,Fri,1
126,19508,1641,evening,Area_12,Area_15,cancelled_by_customer,19,,,2.78,3.54,sedan,Fri,1
127,15370,1215,evening,Area_5,Area_5,completed,5,18,258,2.87,4.97,suv,Sat,1
128,11969,1637,night,Area_7,Area_15,cancelled_by_driver,15,,257,3.83,3.25,sedan,Thu,1
129,15238,,evening,Area_1,Area_8,no_driver_found,10,,84,,4.32,sedan,Wed,2
130,13072,1800,evening,Area_17,Area_8,completed,19,23,448,4.83,4.38,suv,Sun,1
131,16924,1687,evening,Area_5,Area_9,completed,6,20,271,4.94,3.81,mini,Fri,1
132,19042,1278,evening,Area_4,Area_2,cancelled_by_driver,10,,211,4.52,4.52,mini,Wed,1.2
133,18927,1416,afternoon,Area_7,Area_15,completed,5,13,278,3.45,4.1,mini,Wed,1.2
134,12863,1327,morning,Area_3,Area_8,completed,18,28,409,3.75,4.08,sedan,Sat,1.5
135,16570,1943,night,Area_12,Area_5,cancelled_by_customer,6,,383,3.83,4.22,mini,Fri,1.2
136,16012,1786,morning,Area_15,Area_15,completed,29,29,282,2.99,3.96,mini,Thu,1
137,16787,,evening,Area_3,Area_8,no_driver_found,20,,185,,3.55,sedan,Mon,1.2
138,15047,1297,evening,Area_12,Area_10,completed,11,20,238,2.77,4.13,sedan,Sun,1.5
139,14616,1025,night,Area_13,Area_10,completed,19,28,454,3.79,4.19,suv,Tue,1.2
140,13683,1530,morning,Area_10,Area_8,completed,28,40,128,4.45,3.55,suv,Tue,1
141,18853,1672,night,Area_10,Area_1,cancelled_by_customer,27,,,3.09,4.74,mini,Sun,1
142,14358,1802,morning,Area_11,Area_10,completed,13,23,156,3.74,4.98,mini,Tue,1.2
143,19382,1553,afternoon,Area_7,Area_9,completed,21,28,359,2.76,4.45,mini,Sat,1
144,16704,1780,afternoon,Area_4,Area_3,cancelled_by_driver,13,,215,3.36,4.23,sedan,Thu,1
145,15249,1837,night,Area_8,Area_6,completed,12,26,146,3.31,3.67,suv,Thu,1.2
146,10207,1310,evening,Area_2,Area_20,completed,12,20,115,4.09,4.51,sedan,Sat,2
147,19732,1278,afternoon,Area_12,Area_17,cancelled_by_customer,20,,,3.69,3.77,mini,Mon,2
148,14576,1803,evening,Area_18,Area_8,completed,11,8,351,2.9,3.13,suv,Tue,1.2
149,18453,1310,afternoon,Area_2,Area_9,completed,5,12,402,3.62,4.2,suv,Sat,1
150,11826,,afternoon,Area_5,Area_20,no_driver_found,14,,91,,4.63,sedan,Tue,2
151,17373,1129,night,Area_16,Area_7,cancelled_by_customer,24,,,3.51,3.35,sedan,Tue,1
152,11960,1482,night,Area_1,Area_4,completed,18,15,189,4.57,3.64,sedan,Mon,1.5
153,18734,1091,evening,Area_2,Area_4,completed,29,40,147,4.44,3.24,sedan,Thu,1
154,15175,1252,afternoon,Area_6,Area_11,completed,6,7,497,2.65,4.99,suv,Mon,1
155,16928,1551,afternoon,Area_9,Area_14,completed,23,26,159,4.05,4.27,mini,Sun,1.2
156,11549,1482,morning,Area_4,Area_6,completed,11,25,142,3.51,4.31,suv,Fri,1.5
157,16356,,afternoon,Area_2,Area_6,no_driver_found,19,,228,,4.07,sedan,Tue,1.5
158,17961,1628,evening,Area_5,Area_13,completed,8,21,267,3.75,3.53,sedan,Thu,1.2
159,12672,1396,night,Area_18,Area_8,completed,7,12,300,3.65,4.57,mini,Mon,1
160,17451,,evening,Area_2,Area_16,no_driver_found,5,,89,,4.56,suv,Sun,2
161,16230,1415,evening,Area_8,Area_17,cancelled_by_customer,19,,480,3.8,3.3,mini,Fri,1
162,10365,1231,morning,Area_1,Area_13,cancelled_by_driver,23,,487,2.59,4.02,suv,Thu,1
163,16511,1549,evening,Area_19,Area_11,cancelled_by_driver,9,,340,4.41,3.53,mini,Sun,1.2
164,18569,1216,evening,Area_9,Area_2,completed,19,33,128,3.15,3.14,suv,Sat,1
165,18714,1287,night,Area_4,Area_12,completed,12,10,453,4.8,4.04,sedan,Sun,1
166,10685,1434,morning,Area_9,Area_8,completed,18,32,357,4.82,4.35,mini,Fri,1
167,17527,1637,afternoon,Area_7,Area_17,cancelled_by_customer,16,,312,4.09,3.44,sedan,Sun,1.2
168,14082,1462,morning,Area_11,Area_13,completed,22,20,108,2.73,4.93,suv,Thu,1.2
169,17353,1361,evening,Area_1,Area_3,completed,26,29,187,4.4,3.32,mini,Thu,1.2
170,19114,,evening,Area_8,Area_3,no_driver_found,14,,433,,4.47,sedan,Mon,1
171,12634,1019,afternoon,Area_4,Area_10,completed,26,34,288,4.37,4.52,suv,Sun,1
172,15588,1153,afternoon,Area_5,Area_4,cancelled_by_customer,19,,,4.45,3.43,sedan,Sun,1.2
173,14431,1727,morning,Area_4,Area_13,cancelled_by_driver,24,,352,3.7,4.28,sedan,Sun,1.2
174,15433,1541,evening,Area_2,Area_18,completed,23,36,398,2.65,3.67,sedan,Fri,1
175,19518,1475,evening,Area_16,Area_13,completed,8,21,262,3.43,3.13,suv,Mon,1
176,12171,1077,night,Area_17,Area_6,cancelled_by_driver,8,,227,2.8,3.82,suv,Sun,1.5
177,18186,1848,evening,Area_20,Area_10,completed,22,21,186,4.58,3.55,mini,Wed,1
178,13331,1601,night,Area_14,Area_19,completed,9,10,128,4.84,4.41,sedan,Sun,1
179,11619,,night,Area_4,Area_6,no_driver_found,13,,261,,3.8,mini,Thu,1
180,10204,1728,morning,Area_10,Area_7,completed,7,17,199,3.43,3.86,sedan,Thu,2
181,19614,1986,morning,Area_11,Area_20,cancelled_by_customer,22,,,3.36,3.63,sedan,Wed,1.2
182,11753,1598,night,Area_7,Area_10,completed,16,26,392,4.95,3.29,mini,Mon,1
183,10597,,afternoon,Area_12,Area_9,no_driver_found,5,,257,,3.18,suv,Mon,1.5
184,13648,1609,evening,Area_2,Area_11,completed,13,16,165,4.03,3.45,sedan,Fri,1.2
185,18174,1343,morning,Area_2,Area_10,cancelled_by_driver,6,,223,4.13,4.09,sedan,Thu,1
186,15774,,afternoon,Area_19,Area_17,no_driver_found,11,,356,,4.51,mini,Sun,1
187,12274,1096,night,Area_9,Area_8,cancelled_by_customer,21,,,3.66,4.82,sedan,Sun,1
188,15416,1919,evening,Area_18,Area_11,cancelled_by_customer,23,,,3.01,4.05,mini,Fri,2
189,12822,1385,afternoon,Area_15,Area_16,cancelled_by_driver,18,,183,3.62,4.12,suv,Fri,1.2
190,17133,1259,night,Area_8,Area_6,completed,5,2,87,4.14,3.3,sedan,Sat,1.5
191,17329,1532,morning,Area_12,Area_11,cancelled_by_customer,18,,454,3.54,4.97,sedan,Tue,2
192,10264,1226,afternoon,Area_5,Area_3,completed,5,5,360,3.02,3.76,sedan,Tue,1.5
193,19177,1130,morning,Area_11,Area_2,cancelled_by_customer,19,,443,3.39,3.99,mini,Thu,1
194,19087,1175,night,Area_3,Area_20,completed,6,11,386,4.37,4.3,sedan,Mon,1
195,16344,1934,night,Area_15,Area_3,completed,5,17,497,4.22,3.14,mini,Sun,1
196,18179,1301,afternoon,Area_4,Area_15,cancelled_by_driver,10,,222,2.58,3.61,sedan,Thu,1
197,16701,1442,night,Area_3,Area_13,cancelled_by_customer,19,,,4.69,3,sedan,Sat,1.2
198,11967,1661,night,Area_3,Area_19,completed,18,31,360,2.57,4.93,mini,Wed,1
199,12990,1374,night,Area_19,Area_9,cancelled_by_customer,24,,252,4.32,3.61,sedan,Sat,2
200,15827,1040,morning,Area_17,Area_9,completed,5,15,282,3.07,4.46,suv,Thu,1
201,15154,1431,night,Area_14,Area_9,cancelled_by_customer,28,,,3.83,4.68,suv,Sat,1.2
202,19250,1323,night,Area_5,Area_16,completed,24,25,251,2.73,4.82,mini,Tue,1
203,16748,1819,night,Area_13,Area_15,completed,12,20,155,2.84,3.68,sedan,Fri,1
204,10193,1853,evening,Area_19,Area_4,completed,27,30,427,3.46,3.98,sedan,Wed,1
205,13451,1466,evening,Area_6,Area_6,completed,26,40,480,4.01,4.81,sedan,Mon,1
206,11325,1048,afternoon,Area_3,Area_8,completed,18,17,316,3.98,4.07,mini,Sat,1
207,15463,1381,night,Area_1,Area_7,cancelled_by_customer,25,,,3.78,3.59,mini,Mon,1.2
208,13629,1332,evening,Area_19,Area_7,completed,27,32,118,4.26,4.99,mini,Mon,1
209,10987,1102,afternoon,Area_8,Area_8,cancelled_by_driver,25,,188,3.27,4.65,sedan,Fri,1.2
210,13744,1989,morning,Area_13,Area_15,cancelled_by_driver,27,,256,4.22,3.23,suv,Thu,1.2
211,13868,1958,afternoon,Area_8,Area_20,completed,21,18,411,3.39,4.88,mini,Tue,1
212,11628,1628,afternoon,Area_10,Area_14,completed,22,27,456,2.93,4.28,sedan,Wed,1
213,14669,1212,evening,Area_17,Area_9,completed,16,15,314,3.94,3.09,mini,Sun,1
214,13259,1633,afternoon,Area_6,Area_11,cancelled_by_driver,22,,499,3.19,3.61,sedan,Wed,1.2
215,13361,1928,afternoon,Area_9,Area_8,completed,15,27,239,4,4.41,mini,Sun,1
216,11829,1426,morning,Area_1,Area_15,cancelled_by_customer,24,,,4.11,4.27,mini,Tue,1
217,16218,1578,night,Area_6,Area_1,completed,8,21,444,3.07,4.95,mini,Thu,2
218,12169,1484,morning,Area_11,Area_10,completed,23,37,341,3.65,3.58,mini,Fri,1.5
219,13807,1912,night,Area_6,Area_4,completed,22,27,448,4.02,3.3,sedan,Thu,1
220,10382,1340,night,Area_13,Area_2,completed,17,16,121,4.27,3.35,mini,Thu,1.5
221,18017,1763,night,Area_1,Area_3,completed,17,28,433,3.5,4.99,sedan,Mon,1
222,18458,1116,evening,Area_7,Area_8,completed,9,22,180,3.07,4.93,sedan,Fri,1.2
223,10882,1528,afternoon,Area_11,Area_7,completed,9,22,263,4.69,4.89,suv,Tue,1
224,12808,1703,night,Area_6,Area_4,completed,10,17,496,3.6,4.21,suv,Tue,1.2
225,17084,1328,evening,Area_18,Area_19,cancelled_by_customer,19,,,4.89,3.4,mini,Mon,1.2
226,14117,1719,night,Area_19,Area_6,cancelled_by_customer,7,,404,4.07,4.85,mini,Sat,1.2
227,17470,1733,evening,Area_10,Area_16,cancelled_by_driver,16,,273,4.33,4.06,suv,Wed,1
228,15668,,morning,Area_8,Area_7,no_driver_found,11,,146,,4.48,mini,Fri,1.5
229,18605,1973,night,Area_1,Area_4,cancelled_by_customer,7,,,3.5,4.45,suv,Sat,1
230,15776,1935,afternoon,Area_14,Area_13,completed,17,15,124,3.81,3.6,suv,Tue,2
231,11238,1903,evening,Area_2,Area_2,cancelled_by_driver,17,,263,3.08,3.56,sedan,Sat,1
232,17480,1786,afternoon,Area_7,Area_7,completed,5,18,312,2.58,3.43,mini,Sat,1
233,19203,1411,morning,Area_10,Area_10,cancelled_by_driver,8,,133,4.21,3.48,mini,Sun,1
234,17016,1638,evening,Area_13,Area_8,completed,22,30,198,4.7,4.65,mini,Sun,1
235,18859,1156,morning,Area_18,Area_6,completed,21,35,343,3.12,4.48,suv,Mon,1
236,16091,1623,afternoon,Area_2,Area_12,completed,8,8,417,3.58,4.82,suv,Fri,1.5
237,14888,1451,morning,Area_1,Area_10,completed,19,26,92,3.2,3.26,sedan,Mon,1
238,11519,1552,morning,Area_12,Area_5,cancelled_by_customer,14,,,4.89,4,sedan,Sat,1
239,13237,1328,evening,Area_7,Area_9,completed,17,31,308,4.63,3.42,suv,Sat,1.5
240,16469,1027,night,Area_13,Area_13,completed,17,15,472,4.13,4.48,mini,Thu,1
241,12100,1814,evening,Area_4,Area_11,completed,7,16,392,4.46,4.09,sedan,Sat,1.5
242,12064,,morning,Area_2,Area_17,no_driver_found,8,,477,,3.81,sedan,Thu,1
243,15818,1501,morning,Area_4,Area_6,completed,5,17,254,2.83,4.71,suv,Sat,1
244,14579,1372,afternoon,Area_7,Area_1,completed,27,30,323,3.93,4.14,mini,Sun,1.2
245,18386,1615,night,Area_11,Area_8,cancelled_by_driver,5,,296,3.02,3.3,mini,Mon,1
246,19171,1823,night,Area_13,Area_15,cancelled_by_driver,27,,297,4.98,3.48,sedan,Wed,1.2
247,16410,1338,night,Area_9,Area_17,completed,16,19,441,4.62,3.63,mini,Fri,1.5
248,19784,,evening,Area_11,Area_11,no_driver_found,5,,128,,4.45,suv,Sun,2
249,12783,1014,evening,Area_17,Area_18,completed,9,14,327,4.89,4.06,mini,Tue,1
250,10492,1092,evening,Area_6,Area_18,completed,18,24,381,2.61,3.33,suv,Thu,1
251,19467,,night,Area_13,Area_18,no_driver_found,15,,430,,3.39,suv,Tue,1
252,13642,1796,evening,Area_5,Area_18,completed,23,25,453,2.54,4.66,mini,Tue,1
253,16976,1605,evening,Area_16,Area_2,completed,6,10,220,4.43,3.62,suv,Sun,1.5
254,13326,,evening,Area_18,Area_12,no_driver_found,13,,153,,4.1,suv,Fri,1.5
255,12787,1009,morning,Area_2,Area_8,completed,20,21,234,3.7,4.32,mini,Sat,1
256,19821,,afternoon,Area_19,Area_1,no_driver_found,29,,172,,3.18,suv,Wed,1
257,12161,1960,night,Area_14,Area_17,completed,22,31,195,3.93,3.83,mini,Tue,1
258,11772,,night,Area_10,Area_11,no_driver_found,13,,184,,3.3,mini,Fri,1
259,16297,1326,afternoon,Area_19,Area_3,cancelled_by_driver,16,,361,2.86,3.86,mini,Fri,1.5
260,14570,1111,evening,Area_20,Area_15,cancelled_by_customer,22,,195,3.14,3.59,sedan,Sun,1
261,16614,1432,night,Area_15,Area_8,completed,8,6,103,4.56,4.03,mini,Thu,1
262,18575,1514,afternoon,Area_9,Area_6,completed,9,15,247,3.26,3.61,suv,Sat,1
263,12749,,evening,Area_6,Area_19,no_driver_found,8,,318,,4.22,mini,Mon,1
264,18463,1967,afternoon,Area_16,Area_15,completed,26,26,118,4.41,4.08,suv,Sun,1
265,16579,1559,evening,Area_2,Area_9,cancelled_by_driver,21,,218,3.7,3.72,suv,Mon,1.2
266,11914,1095,morning,Area_17,Area_1,completed,29,29,160,4.57,4.39,sedan,Mon,2
267,17742,1336,morning,Area_17,Area_2,completed,13,18,220,4.16,3.31,mini,Thu,1
268,18234,1850,evening,Area_1,Area_17,completed,7,18,179,4.34,3.77,suv,Sat,1.5
269,11476,,evening,Area_4,Area_19,no_driver_found,10,,456,,3.86,suv,Sat,1.2
270,10451,,morning,Area_3,Area_19,no_driver_found,16,,159,,3.31,suv,Tue,1
271,14595,1594,night,Area_5,Area_8,cancelled_by_driver,11,,285,3.93,4.67,mini,Mon,1.2
272,13104,1887,morning,Area_5,Area_12,completed,21,23,176,4.69,4.21,sedan,Tue,1
273,19741,1590,afternoon,Area_5,Area_2,cancelled_by_driver,19,,246,4.1,4.34,suv,Wed,2
274,10517,1016,evening,Area_20,Area_18,cancelled_by_driver,14,,440,2.67,4.04,sedan,Fri,2
275,18399,1097,night,Area_18,Area_20,completed,13,26,298,2.69,4.21,sedan,Thu,1.2
276,13554,1402,evening,Area_11,Area_7,cancelled_by_driver,19,,309,3.58,4.39,suv,Tue,1
277,15178,1099,afternoon,Area_3,Area_6,completed,19,25,152,4.03,3.63,sedan,Fri,1.5
